DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/01/2013,3:15,BROOKLYN,11212,40.6605981,-73.9209104,"(40.6605981, -73.9209104)",CLARKSON AVENUE                 ,EAST 96 STREET                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,136733,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,3:10,,,,,,PITKIN AVENUE                   ,HOWARD AVENUE                   ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,161083,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,3:10,BRONX,10462,40.834014,-73.853471,"(40.834014, -73.853471)",WESTCHESTER AVENUE              ,UNIONPORT ROAD                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,82078,OTHER,PASSENGER VEHICLE,,,
01/01/2013,3:00,QUEENS,11373,40.7367523,-73.8776702,"(40.7367523, -73.8776702)",QUEENS BOULEVARD                ,GRAND AVENUE                    ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,256335,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/01/2013,3:00,BROOKLYN,11204,40.6126918,-73.9826576,"(40.6126918, -73.9826576)",BAY PARKWAY                     ,67 STREET                       ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,122694,SPORT UTILITY / STATION WAGON,BICYCLE,,,
01/01/2013,3:00,BRONX,10469,40.8831532,-73.8562775,"(40.8831532, -73.8562775)",EAST 221 STREET                 ,BRONXWOOD AVENUE                ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,96349,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,2:55,STATEN ISLAND,10304,40.6089813,-74.088126,"(40.6089813, -74.088126)",TARGEE STREET                   ,DEKALB STREET                   ,,4,0,0,0,0,0,4,0,Unspecified,Unspecified,Unspecified,,,286727,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
01/01/2013,2:50,MANHATTAN,10013,40.7264365,-74.0056572,"(40.7264365, -74.0056572)",VARICK STREET                   ,VANDAM STREET                   ,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,,,1579,SPORT UTILITY / STATION WAGON,,,,
01/01/2013,2:50,,,,,,ASTORIA BOULEVARD               ,49 STREET                       ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,274535,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,2:50,MANHATTAN,10013,40.7264365,-74.0056572,"(40.7264365, -74.0056572)",VARICK STREET                   ,VANDAM STREET                   ,,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,,,,1580,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/01/2013,2:46,BROOKLYN,11236,40.6428627,-73.9151876,"(40.6428627, -73.9151876)",FOSTER AVENUE                   ,EAST 85 STREET                  ,,0,0,0,0,0,0,0,0,Failure to Keep Right,Unspecified,,,,145514,PASSENGER VEHICLE,OTHER,,,
